ID	name
1	(S)-acenocoumarol
4	levobupivacaine
5	(S)-nicardipine
6	(S)-nitrendipine
7	(R)-terbutaline
8	(S)-verapamil
9	(R)-warfarin
10	(R)-acenocoumarol
12	(S)-disopyramide
13	(R)-dobutamine
17	(S)-tocainide
18	2-aminothiazole
18	aminothiazole
18	2-thiazolamine
18	abadole
18	basedol
18	abadol
18	1,3-thiazol-2-amine
19	2-fluoro vidarabine
20	2-hydroxyimipramine
21	4-aminofolic acid
21	Aminofolic acid, 4-
22	4-aminomethylbenzoic acid
22	aminomethylbenzoic acid
22	benzylamine-4-carboxylic acid
22	p-carboxybenzylamine
23	4-desacetylpaclitaxel 4-methyl carbonate
24	benzenebutyric acid
24	4-Phenylbutanoic acid
24	4-Phenylbutyric acid
24	gamma-Phenylbutanoic acid
25	5-azacitidine
26	5-fluorouracil
26	adrucil
26	fluoroblastin
26	fluorouracil
27	6-azaribine
27	azaribine,6-
29	6-methoxy-2-naphthyl-acetic acid
30	8-methoxsalen
31	9-aminocamptothecin
32	10-hydroxy-carbamazepine
33	21-acetoxypregnenolone
34	abacavir
35	abarelix
36	abanoquil
37	acadesine
38	acamprosaic acid
38	acamprosate
38	campral
38	zulex
39	acarbose
39	ascarbose
39	glucobay
39	prandase
39	precose
40	acebutolol
41	acecainide
42	acecarbromal
43	aceclofenac
44	acediasulfone
45	aceglatone
46	aceglutamide
46	acetylglutamine
47	acemetacin
48	acenocoumarol
49	acephylline
50	aceprometazine
50	acepromethazine
51	acetamidoeugenol
52	acetaminophen
52	acetaminofen
52	aminofen
52	panadol
52	paracetamol
53	acetaminosalol
54	acetanilide
54	acetamidobenzene
54	acetanil
54	acetylaniline
54	phenalgene
55	acetarsone
56	acetazolamide
57	acetohexamide
58	acetohydroxamic acid
58	acetohydroximic acid
58	acetylhydroxamic acid
58	N-​acetylhydroxylamine
58	N-​hydroxyacetamide
59	acetophenazine
60	acetorphan
60	racecadotril
61	acetosulfone
62	acetoxolone
63	acetrizoic acid
64	acetylcarnitine
65	acetylcholine
66	acetylcysteine
66	acetadote
66	acetilcysteina
66	L-Acetylcysteine
67	acetyldigitoxin
68	acetyldigoxin
69	acetyldihydrocodeine
69	acetylcodone
69	dihydrocodeine 6-acetate
69	dihydrothebacone
69	O-Acetyldihydrocodeine
70	acetylfuratrizine
71	acetylleucine
72	acetylpheneturide
73	acetylpromazine
73	acepromazin
73	acepromazine
73	acetacin
73	acetazin
73	acetazine
73	acetopromazine
73	azepromazine
74	aspirin
74	acetylsalicylic acid
75	acetyl sulfamethoxypyrazine
76	acipimox
76	olbemox
76	olbetam
76	methylpyrazinecarboxylic acid 4-oxide
77	acitazanolast
78	acitretin
79	acivicin
79	5-Isoxazoleacetic acid
80	aclacinomycin
80	Aclacinomycin A
80	aclacur
80	aclarubicin
80	Antibiotic 3082A
81	aclatonium
82	acrivastine
83	acrosoxacin
84	actarit
85	acyclovir
85	aciclovir
86	adamexine
87	adapalene
87	differin
88	adefovir dipivoxil
88	hepsera
88	preveon
89	adenine
89	9H-Purin-6-amine
89	vitamin B4
89	adeninimine
90	adenosine
91	adenosine triphosphate
92	adenosine-5-phosphate
93	adinazolam
94	adiphenine
95	adrafinil
96	adrenalone
97	adrenochrome
98	afloqualone
98	aroft
98	arofuto
99	agomelatine
99	valdoxan
100	ajmaline
100	(+)-Ajmaline
100	ajmalin
100	cardiorythmine
100	gilurytmal
100	raugalline
101	alacepril
102	alatrofloxacin mesilate
103	albendazole
104	albendazole sulfoxide
105	salbutamol
105	albuterol
106	albutoin
107	alclofenac
108	alclometasone
109	alcuronium
111	aldosterone
112	alendronic acid
112	alendronate sodium
113	alexidine
114	alfentanil
115	alfuzosin
116	algestone acetophenide
117	alibendol
118	alinidine
119	aliskiren
119	rasilez
119	tekturna
120	alizapride
121	alkofanone
122	allobarbital
123	alloclamide
124	allopurinol
124	tautomeric mixture of 1H-pyrazolo[3,4-d]pyrimidin-4-ol and 1,5-dihydro-4H-pyrazolo[3,4-d]pyrimidin-4-one
125	allylestrenol
126	alminoprofen
126	(+/-)-Alminoprofen
126	minalfene
127	almitrine
128	almotriptan
129	alosetron
130	alfacalcidol
131	alpha-lipoic acid
132	alphaprodine
133	alphaxalone
134	alpidem
135	alpiropride
136	alprazolam
137	alprenolol
138	alprostadil
139	alsactide
