id	treenum	term
D000006	C23.888.592.612.054.200	Abdomen, Acute
D000007	C26.017	Abdominal Injuries
D000008	C04.588.033	Abdominal Neoplasms
D000012	C16.320.565.398.500.440.500	Abetalipoproteinemia
D000013	C16.131	Congenital Abnormalities
D000014	C16.131.042	Abnormalities, Drug-Induced
D000015	C16.131.077	Abnormalities, Multiple
D000016	C16.131.080	Abnormalities, Radiation-Induced
D000022	C13.703.039	Abortion, Spontaneous
D000026	C13.703.039.089	Abortion, Habitual
D000027	C13.703.039.093	Abortion, Incomplete
D000030	C13.703.039.173	Abortion, Missed
D000031	C01.539.674.173	Abortion, Septic
D000033	C13.703.090	Abortion, Threatened
D000034	C13.703.039.422	Abortion, Veterinary
D000037	C13.703.420.078	Abruptio Placentae
D000038	C01.539.830.025	Abscess
D000039	C01.539.830.025.675	Peritonsillar Abscess
D000051	C17.800.865.070	Acantholysis
D000052	C17.800.621.430.530.100	Acanthosis Nigricans
D000067011	C18.654.521.719	Severe Acute Malnutrition
D000067208	C20.543.480.370.763	Shellfish Hypersensitivity
D000067251	C23.550.291.937.500	Symptom Flare Up
D000067329	C18.654.726.500.698	Obesity, Metabolically Benign
D000067390	C26.212	Cold Injury
D000067398	C26.946	War-Related Injuries
D000067562	C23.550.291.883	Late Onset Disorders
D000068376	C23.888.369.500.500	Compassion Fatigue
D000069076	C26.404.280	Fractures, Multiple
D000069279	C10.228.140.490.125	Drug Resistant Epilepsy
D000069281	C10.228.140.617.738.275.500	Autoimmune Hypophysitis
D000069282	C11.496.221.500	Canaliculitis
D000069290	C23.300.707.945	Incisional Hernia
D000069293	C04.557.386.480.150.585.500	Plasmablastic Lymphoma
D000069295	C04.557.470.200.588	Mammary Analogue Secretory Carcinoma
D000069316	C17.800.030.150.500	Acne Conglobata
D000069337	C12.706.445	Fused Kidney
D000069451	C23.550.543	Long Term Adverse Effects
D000069544	C10.228.140.430.520	Infectious Encephalitis
D000069578	C01.539.221.750	Waterborne Diseases
D000069584	C04.588.180.682	Unilateral Breast Neoplasms
D000069836	C26.808.500	Degloving Injuries
D000069856	C12.777.419.600.500.500	Staghorn Calculi
D000070558	C05.330.488.655	Talipes
D000070589	C05.330.488.655.500	Talipes Cavus
D000070591	C05.330.663	Metatarsal Valgus
D000070592	C05.330.711	Metatarsus Varus
D000070598	C26.558.554.213	Anterior Cruciate Ligament Injuries
D000070599	C26.803	Shoulder Injuries
D000070600	C26.558.781	Tibial Meniscus Injuries
D000070603	C05.116.296	Coxa Magna
D000070604	C05.116.099.370.894.909	Tarsal Coalition
D000070607	C05.360.500.500	Morton Neuroma
D000070617	C26.599	Microtrauma, Physical
D000070624	C10.228.140.199.444.375	Brain Contusion
